theta,theta_local,t,cyl_T,cyl_p,cyl_a,pipe_T,pipe_p,pipe_rho,pipe_u,pipe_a,pipe_AA,T_isentropic,a_isentropic,mdot_exhaust,T_error_K,T_error_frac,a_ratio_isentropic_to_pipe
1580.0124818421425,140.0124818421425,0.0,1852.6921938480891,612494.3506451404,847.2458855057616,326.1239035228411,136096.7103732504,1.454062583692955,0.0,361.98975736266016,0.999600023884522,1254.4143236314928,697.1533760163699,0.0,928.2904201086517,0.7400189894366623,1.9258925476112998
1580.569116434437,140.5691164344371,0.0,1851.3514987164929,610467.9059083902,846.9392765586593,326.0512169672424,135990.5735385031,1.4532525147815727,0.0,361.94941494280386,0.999600023884522,1254.3302929447,697.1300251756655,0.0,928.2790759774575,0.7400595211634443,1.926042691036889
1581.1263183966742,141.12631839667415,0.0,1850.0240198755043,608475.6356071311,846.6355806961838,325.97066266175773,135873.01730669203,1.4523550786572614,0.0,361.9047005186507,0.999600023884522,1254.2123641215499,697.0972532429707,0.0,928.2417014597921,0.7400993069542353,1.926190105417119
1581.6840991038043,141.68409910380433,0.0,1848.70969359691,606517.1570657413,846.3347864669885,325.88288477684335,135745.00206766755,1.4513775450495232,0.0001240823028255679,361.85597010873767,0.999600023884522,1254.0627998931732,697.0556877456851,1.4303213533357404e-07,928.1799151163298,0.7401383050317707,1.9263346340153513
1582.2424710929279,142.24247109292787,0.0,1847.4084537477188,604592.0889457548,846.0368818228634,325.78844216443855,135607.36322866974,1.4503262310525822,0.0003891431699703431,361.8035324062929,0.999600023884522,1253.8835680663585,697.0058740407505,4.482486191462005e-07,928.09512590192,0.7401764801281797,1.9264761441246432
1582.801448239537,142.80144823953697,0.0,1846.1202338428059,602700.055626652,845.7418545882634,325.6879030485829,135460.94903916994,1.4492075543992589,0.00094558040061566,361.74770136784645,0.999600023884522,1253.6766709870178,696.9483669353995,1.0883611830534276e-06,927.9887679384349,0.7402137962795707,1.9266145003826884
1583.3610459614094,143.36104596140945,0.0,1844.8449641472719,600840.6810060563,845.4496917965376,325.5817960075435,135306.54883727364,1.4480274863585691,0.001954488213643854,361.6887690208682,0.999600023884522,1253.4439755847186,696.8836835084455,2.247780574027621e-06,927.8621795771751,0.7402502207123673,1.9267495791892773
1583.921281454743,143.92128145474294,0.0,1843.5825712723808,599013.5876949825,845.1603795963723,325.4706239486279,135144.91323646475,1.4467917064752225,0.0036125489236415714,361.6270132367861,0.999600023884522,1253.1872621811772,696.812316719572,4.1511060453141024e-06,927.7166382325493,0.7402857228359112,1.9268812649881142
1584.4821739678455,144.48217396784548,0.0,1842.3329772347918,597218.3951040751,844.8739030350151,325.35486726766106,134976.75856652303,1.4455056369879635,0.0061520568611985625,361.5626994978135,0.999600023884522,1252.908235793259,696.7347385900163,7.062919000873759e-06,927.553368525598,0.7403202740848233,1.9270094496963717
1585.0437198418895,145.04371984188947,0.0,1841.0960984834758,595454.7175080499,844.5902458336959,325.2349896098885,134802.77511206968,1.4441745062339344,0.009840763696763183,361.49608410777176,0.999600023884522,1252.6085465420688,696.6514059109653,1.1287365321732686e-05,927.3735569321802,0.7403538475705542,1.9271340314250116
1585.6058509718548,145.6058509718548,0.0,1839.8717139774237,593722.2387948479,844.3093601166298,325.11145088324815,134623.64585668084,1.442803492490057,0.014981133015952419,361.4274214346348,0.999600023884522,1252.2897043780808,696.5627365580846,1.716706115459608e-05,927.1782534948327,0.7403863900288896,1.927254810366014
1586.1685839881166,146.16858398811655,0.0,1838.659446572267,592020.8278606716,844.0311620872922,324.98467882431754,134440.00514095987,1.4413974078916787,0.021911215265854586,361.3569481158634,0.999600023884522,1251.9529029719404,696.4690605163149,2.5083856927397744e-05,926.9682241476228,0.7404178080079092,1.9273714374325608
1586.7318362077701,146.73183620777013,0.0,1837.4598133743043,590350.0831494399,843.7557731309898,324.85511056355995,134252.49884280146,1.4399611593028172,0.03100242445042769,361.2849061674711,0.999600023884522,1251.600129223567,696.3709285055422,3.545606629067387e-05,926.745018660007,0.7404481647304682,1.9274841451105194
1587.2956066418749,147.29560664187488,0.0,1836.2722158068698,588709.8827988099,843.4830585224411,324.72315434972614,134061.72885997445,1.4384993234469243,0.04266125926223829,361.21152171230636,0.999600023884522,1251.2323596835988,696.2686103504957,4.874021597488397e-05,926.5092053338726,0.7404773367339704,1.9275924728255256
1587.8599076823357,147.8599076823357,0.0,1835.0971503171208,587099.847150037,843.2131349133317,324.5892063691585,133868.27748118783,1.437016333479568,0.057328728888904355,361.1370143299187,0.999600023884522,1250.8514197559487,696.162612170779,6.543018297497185e-05,926.2622133867901,0.740505385977426,1.9276966484936262
1588.4247533802159,148.42475338021586,0.0,1833.9345827770383,585519.548658621,842.9459971415508,324.45365554199054,133672.7142968946,1.435516532006068,0.07548005630263624,361.06159972610186,0.999600023884522,1250.458778741356,696.0533412198654,8.605666912403071e-05,926.0051231993654,0.7405323061760036,1.9277966467436174
1588.990159716342,148.99015971634208,0.0,1832.784385120508,583968.5457858851,842.6816184152476,324.3168850396089,133475.59836459896,1.4340041877511975,0.0976244920248085,360.98549057948975,0.999600023884522,1250.0558337353839,695.9411848574379,0.00011118682424718548,925.738948695775,0.7405580804574995,1.9278924029335471
1589.5561449191553,149.55614491915526,0.0,1831.6464183048602,582446.381324032,842.4199693574567,324.17927377164375,133277.4803350059,1.432483511913284,0.12430512967018634,360.9088973708552,0.999600023884522,1249.6439722376897,695.8265279820057,0.0001414238977389726,925.464698466046,0.7405826931720815,1.927983857009219
1590.1226200613378,150.12262006133778,0.0,1830.520531358814,580952.5806905021,842.1610177839939,324.0412245280927,133078.9428959,1.4309589688061255,0.1560919734217208,360.8320440528912,0.999600023884522,1249.2246708742236,695.7097805336778,0.00017739928797724815,925.183446346131,0.7406061278782428,1.928070946026345
1590.6895825667204,150.68958256672045,0.0,1829.4060998526584,579486.9292344378,841.9046225006207,323.9031187171465,132880.53557507944,1.4294347755231787,0.19358997663666025,360.7551428608461,0.999600023884522,1248.798867084888,695.5912025407164,0.00021978160027175236,924.8957483677414,0.7406282730915313,1.92815325382354
1591.2570456813535,151.25704568135347,0.0,1828.3035272860714,578048.9616208404,841.6508787181228,323.7653341348258,132682.80038458505,1.427915098572607,0.23743644452541054,360.67840419877234,0.999600023884522,1248.3683302191398,695.4712859230104,0.0002692736682600014,924.602996084314,0.7406491927923293,1.9282310164035534
1591.8250246191208,151.82502461912077,0.0,1827.212719527669,576638.1551981361,841.3997671624323,323.62824947176597,132486.27831492684,1.4264041036951725,0.2883000651321632,360.602039148083,0.999600023884522,1247.934529208537,695.3504392332313,0.00032661147642955117,924.3062797367711,0.7406688877524553,1.9283042349843236
1592.3935369419492,152.39353694194915,0.0,1826.133480348248,575253.9658324254,841.1512449975503,323.4922453599243,132291.51085151287,1.424905967463455,0.34688046938903816,360.52626004996864,0.999600023884522,1247.498886057511,695.2290582268428,0.00039256373257361897,924.0066406975868,0.7406873473191936,1.928372868402109
